velocity,CO2,NOx
20.91451158,1.299510979,1.496406623
21.79793734,1.567217664,1.544073907
23.19540765,2.780070092,4.130391496
24.48573668,2.519921057,4.686625408
24.94824491,2.065527731,4.138185583
24.83692196,1.458977928,3.005240627
24.29021515,1.102888444,1.608294024
23.4053955,0.898788873,0.720262049
22.80342278,1.049280878,0.57615046
22.57689659,1.177172172,0.567581588
22.44911066,1.196020698,0.555031185
22.24601692,1.234215809,0.592728519
22.02853218,1.388735662,0.603444134
22.75719833,3.080922075,1.754010832
25.54562156,5.67010346,7.758342016
29.71893239,3.996810576,11.98203145
33.45399624,2.72256177,0.806845081
36.28502733,4.156305771,5.425408657
38.65449201,4.139930807,6.85135035
40.39723299,4.084090059,7.495800319
41.2510103,1.200017931,3.853827875
41.52097316,1.055244164,0.95620137
41.76475346,1.714534192,2.577464634
42.17120466,1.999603784,4.939860349
42.60135201,1.823973204,4.95939124
42.93547154,1.812531176,5.003881128
43.14681562,1.775226697,4.838149247
43.31935677,1.66501637,4.19273719
43.55842798,1.667299406,3.918568973
43.83554866,1.681124145,3.799107253
44.06474961,1.631050062,3.413737565
44.24979811,1.628307363,3.142122202
44.4217365,1.605198794,2.961224158
44.58794863,1.635033522,2.819557621
44.82419438,1.625351863,2.667093686
45.20664804,1.645106234,2.571888662
45.62387364,1.689856534,2.450618157
45.89911068,1.636568526,2.190743221
46.00278607,1.626310121,1.987708516
46.00595058,1.636470686,1.869039082
45.98022009,1.652435462,1.752633741
45.95000656,1.626713952,1.603212024
45.90528901,1.654439765,1.568620172
45.84448521,1.639589754,1.443152431
45.7679342,1.657565281,1.332629365
45.65921067,1.636568526,1.265282383
45.49571098,1.662973341,1.209738661
45.28414087,1.626941717,1.095240699
45.06413207,1.590567534,1.038636229
44.88292618,1.572091494,0.961281571
44.73758475,1.548217576,0.829704936
44.46310117,1.522676867,0.750672099
43.79410864,1.208585794,0.887785115
42.64539144,0.272087979,0.266626829
41.2606922,0.348140488,0.422661228
39.9718324,0.25059516,0.33708606
38.79960741,0.209545722,0.205130263
37.45657422,0.162619228,0.089923722
35.82342325,0.425591911,0.210888222
34.15056521,0.108792961,0.010693306
32.49789976,0.197877963,0.019145637
30.50037805,0.151786812,0.002007332
28.03884119,0.283998203,0.006249956
25.36611095,0.097001112,0
22.39026584,0.043814617,0
18.71777641,0.030405419,0
14.30671291,0.10159739,0
9.483999377,0.068403862,0
4.944396487,0.088430618,0
1.67673833,0.134072233,0
0.158564564,0.196329057,0
0,0.229462271,0
0,0.266983101,0
0,0.314985737,0
0,0.315937564,0
0,0.321084616,0
0,0.34265947,0
0,0.320749921,0
0,0.349764572,0
0.783140927,0.34984832,0
4.009622779,1.424978915,0
9.625535863,3.056655902,0
15.55217371,4.434444301,4.338982287
19.87417885,1.529847367,4.003889661
23.06532367,3.042952822,0
26.55073027,5.405966204,3.661875694
30.21402755,5.222172847,6.473337349
33.03036627,1.594833467,4.343448356
35.21828602,3.071535575,0.274853755
37.49270237,4.564555844,3.039375664
39.44309549,3.054516103,4.7656998
40.46146501,0.78569134,1.833682665
40.96537558,1.441069243,0.378104749
41.63425509,2.23637128,0.367550649
42.50136856,2.225858703,0.957854355
43.32542208,2.296962859,1.164551668
44.01954232,2.252469631,1.190932307
44.56425247,1.908027986,1.056717625
44.94583966,1.88671264,0.97624929
45.19903815,1.752043516,0.766327369
45.38209,1.718683036,0.588730242
45.5241539,1.709080363,0.412722889
45.62278113,1.665229053,0.349225752
45.67488253,1.605073779,0.258754302
45.70004792,1.570228902,0.177472683
45.72370641,1.537569081,0.140569942
45.76107776,1.521351941,0.092098904
45.81736084,1.469207087,0.074534536
45.84192346,1.458540441,0.039354827
45.64504572,1.405437088,0.000823524
44.98483095,0.988817808,0.036342402
43.8461347,0.321383884,0.001706435
42.47917931,0.14361282,0
41.11843993,0.2581507,0
39.8668008,0.204228863,0
38.74938965,0.159213577,0
37.63216686,0.085147225,0
36.29403112,0.397520384,0
34.6425712,0.124325722,0
32.57173833,0.06856575,0
29.80079526,0.036418605,0
25.98409458,0.127149934,0
20.89970619,0.066245536,0
14.88928417,0.054121423,0
9.058448102,0.0920726,0
4.476727087,0.151160881,0
1.520057402,0.195413501,0
0.138748703,0.238132017,0
0,0.273156583,0
0,0.303819467,0
0,0.303765562,0
0,0.328453035,0
0,0.313400404,0
0,0.326604006,0
0,0.33891556,0
0,0.34563841,0
0,0.330194809,0
0,0.363298876,0
0,0.325790248,0
0,0.334707596,0
0,0.334852568,0
0,0.351408701,0
