velocity,RPM,CO2,NOx,NH3
22.75719833,1590,3.080922075,1.754010832,0.196289281
25.54562156,1809,5.67010346,7.758342016,0.36524788
29.71893239,2158,3.996810576,11.98203145,1.347429465
33.45399624,1784,2.72256177,0.806845081,0.941448912
36.28502733,1504,4.156305771,5.425408657,0.311881451
38.65449201,1618,4.139930807,6.85135035,0.338915351
40.39723299,1704,4.084090059,7.495800319,0.352874688
41.2510103,1303,1.200017931,3.853827875,0.311961123
41.52097316,1218,1.055244164,0.95620137,0.141382925
41.76475346,1225,1.714534192,2.577464634,0
42.17120466,1239,1.999603784,4.939860349,0.103598695
42.60135201,1259,1.823973204,4.95939124,0.103083562
42.93547154,1272,1.812531176,5.003881128,0.099765884
43.14681562,1268,1.775226697,4.838149247,0.102093442
43.31935677,1277,1.66501637,4.19273719,0.096832232
43.55842798,1284,1.667299406,3.918568973,0.09622431
43.83554866,1295,1.681124145,3.799107253,0.096266415
44.06474961,1298,1.631050062,3.413737565,0.091355582
44.24979811,1302,1.628307363,3.142122202,0.089236087
44.4217365,1309,1.605198794,2.961224158,0.085663473
44.58794863,1314,1.635033522,2.819557621,0.084635538
44.82419438,1313,1.625351863,2.667093686,0.082445997
45.20664804,1334,1.645106234,2.571888662,0.080556506
45.62387364,1349,1.689856534,2.450618157,0.080823442
45.89911068,1346,1.636568526,2.190743221,0.078804709
46.00278607,1354,1.626310121,1.987708516,0.075706325
46.00595058,1354,1.636470686,1.869039082,0.074423467
45.98022009,1358,1.652435462,1.752633741,0.074260372
45.95000656,1355,1.626713952,1.603212024,0.070115756
45.90528901,1352,1.654439765,1.568620172,0.070276906
45.84448521,1350,1.639589754,1.443152431,0.069785489
45.7679342,1347,1.657565281,1.332629365,0.068480638
45.65921067,1346,1.636568526,1.265282383,0.066461803
45.49571098,1342,1.662973341,1.209738661,0.066437091
45.28414087,1337,1.626941717,1.095240699,0.063992046
45.06413207,1325,1.590567534,1.038636229,0.063507007
44.88292618,1327,1.572091494,0.961281571,0.0636033
44.73758475,1315,1.548217576,0.829704936,0.061969763
44.46310117,1316,1.522676867,0.750672099,0.059249832
43.79410864,1295,1.208585794,0.887785115,0.07652523
42.64539144,1256,0.272087979,0.266626829,0.029560308
41.2606922,1211,0.348140488,0.422661228,0.063662719
39.9718324,1181,0.25059516,0.33708606,0
38.79960741,1142,0.209545722,0.205130263,0
37.45657422,858,0.162619228,0.089923722,0
35.82342325,1482,0.425591911,0.210888222,0
34.15056521,1436,0.108792961,0.010693306,0.015931594
32.49789976,1132,0.197877963,0.019145637,0.033483592
30.50037805,1049,0.151786812,0.002007332,0.018160776
28.03884119,1884,0.283998203,0.006249956,0.055076396
25.36611095,1749,0.097001112,0,0.015400305
22.39026584,1588,0.043814617,0,0.003892572
18.71777641,1320,0.030405419,0,0.002902342
14.30671291,1023,0.10159739,0,0.005413596
9.483999377,861,0.068403862,0,0
4.944396487,812,0.088430618,0,0
1.67673833,803,0.134072233,0,0
0.158564564,803,0.196329057,0,0
0,803,0.229462271,0,0
0,805,0.266983101,0,0
0,805,0.314985737,0,0
0,802,0.315937564,0,0
0,803,0.321084616,0,0
0,803,0.34265947,0,0
0,802,0.320749921,0,0
0,803,0.349764572,0,0.00214851
0.783140927,801,0.34984832,0,0.000468262
4.009622779,1139,1.424978915,0,0
9.625535863,1255,3.056655902,0,0
15.55217371,2080,4.434444301,4.338982287,0.054404607
19.87417885,2618,1.529847367,4.003889661,0.161041205
23.06532367,1636,3.042952822,0,0.066220889
26.55073027,1757,5.405966204,3.661875694,0.050865203
30.21402755,2094,5.222172847,6.473337349,0.116495426
33.03036627,2073,1.594833467,4.343448356,0.157070087
35.21828602,1451,3.071535575,0.274853755,0.0972333
37.49270237,1544,4.564555844,3.039375664,0.055154339
39.44309549,1670,3.054516103,4.7656998,0.075482318
40.46146501,1189,0.78569134,1.833682665,0.07917576
40.96537558,1184,1.441069243,0.378104749,0.050124805
41.63425509,1212,2.23637128,0.367550649,0.032617484
42.50136856,1247,2.225858703,0.957854355,0.035049093
43.32542208,1273,2.296962859,1.164551668,0.038088028
44.01954232,1299,2.252469631,1.190932307,0.040588887
44.56425247,1314,1.908027986,1.056717625,0.038783341
44.94583966,1321,1.88671264,0.97624929,0.03918564
45.19903815,1332,1.752043516,0.766327369,0.042452606
45.38209,1340,1.718683036,0.588730242,0.041481856
45.5241539,1341,1.709080363,0.412722889,0.039247694
45.62278113,1344,1.665229053,0.349225752,0.038187322
45.67488253,1344,1.605073779,0.258754302,0.035633278
45.70004792,1345,1.570228902,0.177472683,0.033840088
45.72370641,1344,1.537569081,0.140569942,0.032652856
45.76107776,1347,1.521351941,0.092098904,0.031649785
45.81736084,1350,1.469207087,0.074534536,0.0298696
45.84192346,1349,1.458540441,0.039354827,0.029239263
45.64504572,1348,1.405437088,0.000823524,0.028590078
44.98483095,1330,0.988817808,0.036342402,0.036535408
43.8461347,1293,0.321383884,0.001706435,0.016229678
42.47917931,1252,0.14361282,0,0.009869863
41.11843993,1213,0.2581507,0,0.008693024
39.8668008,1177,0.204228863,0,0
38.74938965,1136,0.159213577,0,0
37.63216686,850,0.085147225,0,0
36.29403112,1423,0.397520384,0,0
34.6425712,1453,0.124325722,0,0
32.57173833,1380,0.06856575,0,0
29.80079526,1265,0.036418605,0,0
25.98409458,1136,0.127149934,0,0
20.89970619,862,0.066245536,0,0
14.88928417,815,0.054121423,0,0
9.058448102,798,0.0920726,0,0
4.476727087,800,0.151160881,0,0
1.520057402,799,0.195413501,0,0
0.138748703,795,0.238132017,0,0
0,798,0.273156583,0,0
0,799,0.303819467,0,0
0,798,0.303765562,0,0
0,796,0.328453035,0,0
0,798,0.313400404,0,0
0,798,0.326604006,0,0
0,795,0.33891556,0,0
0,795,0.34563841,0,0
0,798,0.330194809,0,0
0,801,0.363298876,0,0
0,797,0.325790248,0,0
0,794,0.334707596,0,0
0,797,0.334852568,0,0
0,797,0.351408701,0,0
0.411235634,790,0.363137736,0,0
2.69857374,1086,1.163600587,0,0
7.186451959,1250,2.432816517,0,0
12.1374035,1681,3.685726883,0.341160799,0.038149662
15.56223233,2126,1.256161053,1.668281706,0.050097055
17.68742696,1349,1.748899735,0.034106724,0.036415617
20.28767485,1412,3.542171221,0,0
24.36887584,1716,5.257816002,1.951786263,0.056721477
29.4520587,2050,6.991142383,5.445503587,0.084681237
34.12453335,2436,2.610741252,10.19962391,0.122982911
37.5026103,2069,2.74520656,1.26962312,0.107415681
40.28398873,1648,4.967359837,0.906929348,0.045168884
43.23395266,1796,5.287161187,3.010649616,0.065141614
45.99977225,1927,5.47773888,3.910597266,0.077168734
47.9032628,2038,2.626907641,3.933018253,0.081690888
48.77478398,1364,1.097700905,0.845893546,0.073448428
49.0749227,1436,1.400611518,0,0.013382615
49.2970035,1453,1.794199767,0,0
49.48077113,1460,1.827929417,0,0
49.5401057,1464,1.75993173,0,0
49.48521652,1458,1.53358527,0,0
49.35373865,1454,1.492151294,0,0
49.24882007,1444,1.473417906,0,0
49.22037715,1452,1.525426285,0,0
49.23793265,1449,1.478615471,0,0
49.24746385,1446,1.483085509,0,0
49.14589814,1450,1.420509807,0,0
48.77195852,1320,1.178764825,0,0
47.9253767,825,0.300029494,0,0
46.75126807,1969,0.826578246,0,0
45.77433857,1917,1.076924727,0,0
45.22774478,1892,1.299091618,0,0
44.93483922,1876,1.296983276,0,0
44.71543318,1874,1.325672118,0,0
44.50860984,1858,1.302173161,0,0
44.17260666,1852,1.265368036,0,0
43.4030656,1823,0.565829671,0,0
42.0025438,1755,0.2848232,0,0
39.94169421,1677,0.166063063,0,0
37.26538506,1582,0.089272836,0,0
34.31900003,1444,0.056020385,0,0
31.5956753,1320,0.029415931,0,0
29.10999022,1234,0.02429089,0,0
26.41284804,848,0.020772455,0,0
23.18998277,805,0.032377055,0,0
19.42854801,791,0.057535316,0,0
15.33382251,789,0.120691416,0,0
11.34793355,789,0.180781204,0,0
